GEOID,Scenario,MinP,MaxP,AvgP,Ag50,Ag95,AgChn50,AgChn95,ChgAg50,ChgAg95,PercVacant,Distress,PrcNW
26004900034002,1,62.3552381,73.21952381,68.54833333,56.73309524,69.21166667,1.114761905,0.27047619,1.020043066,1.003923289,0.394957983,7.740686065,50.35046729
26004900022005,1,82.60380952,92.07357143,88.32285714,49.86952381,68.84571429,12.07219512,24.1547619,1.319392813,1.488776714,0.590062112,5.079770241,10.82621083
26004900026003,0,77.41321429,81.63607143,79.85928571,22.22035714,26.1775, , , , ,0.191780822,5.598936456,35.83138173
26004900113011,6,58,71.95,68.34,72.54,85.1,-96.71,-182.04,0.42859675,0.318559557, ,5.193631876,59.27835052
26004900032002,4,43.82472727,73.868,61.72436364,37.84745455,45.13909091,2.275090909,3.482909091,1.063956698,1.083610858,0.251908397,3.410314252,98.02431611
26004900032002,3,68.44927273,77.76418182,75.27327273,38.80563636,46.37545455,3.233272727,4.719272727,1.090892828,1.113291054,0.251908397,3.410314252,98.02431611
26004900027003,4,46.712,74.1814,62.84,26.5118,31.8468,-0.5474,0.2144,0.979770281,1.006777861,0.082089552,7.760794639,29.5212766
26004900018001,1,81.42045455,81.74409091,81.59863636,74.40068182,77.76931818,49.95590909,45.37295455,3.043623381,2.400557021,0.33988764,4.48425919,65.61514196
26004900040004,6,60.8125,75.016875,71.359375,80.624375,94.99270833,-4.258541667,-9.468958333,0.949830404,0.909354707,0.078431373,1.947641699,8.194905869
26004900037001,4,34.90697674,66.98674419,54.71255814,102.1637209,180.7795349,6.871162791,20.80139535,1.072105975,1.130026486,0.16064257,-0.513690625,39.64285714
26004900019003,4,60.91195122,79.92634146,71.89682927,24.82731707,28.72829268,3.347804878,3.90195122,1.155860377,1.157169804,0.18251928,2.050093952,22.86198137
26004900032002,6,66.85454545,77.60545455,74.59018182,37.53927273,45.18454545,1.966909091,3.528363636,1.05529318,1.084702041,0.251908397,3.410314252,98.02431611
26004900035003,0,62.7744186,68.62790698,66.24837209,51.13651163,67.14790698, , , , ,0.008108108,2.676424285,22.45098039
26004900032001,3,68.04535714,78.10178571,75.48071429,60.61428571,83.4175,4.541785714,3.022857143,1.080998452,1.037600231,0.538461538,11.44487505,100
26004900027004,4,46.2377193,73.9622807,62.54017544,29.59719298,35.26929825,-4.255263158,-4.27754386,0.874299722,0.891836019,0.117808219,3.073642293,8.976377953
26004900032002,0,72.23963636,77.73381818,75.45672727,35.57236364,41.65618182, , , , ,0.251908397,3.410314252,98.02431611
26004900005003,0,66.86409836,72.94737705,71.09655738,32.3204918,41.14377049, , , , ,0.620155039,4.377963906,94.7826087
26004900108122,2,31.825,73.815,54.765,150.5,183.465,7.535,-11.665,1.052705208,0.940219341,0,3.997213128,64.64699684
26004900008001,5,31.05169811,59.71113208,46.22981132,30.66849057,39.55830189,0.058301887,0.77,1.001904656,1.019851346,0.362292052,4.431780655,100
26004900004002,5,32.45775,59.85625,47.09075,46.5805,57.411,10.65159091,14.17386364,1.469679825,1.784566766,0.540816327,5.325055261,100
26004909801001,1,85.37333333,87.3775,86.72916667,96.81583333,101.5816667,71.4325,72.32416667,3.814149705,2.808450834, ,-4.499793748, 
26004900027004,1,67.02649123,76.82175439,72.5322807,40.83561404,49.06701754,6.983157895,9.520175439,1.206282164,1.240731622,0.117808219,3.073642293,8.976377953
26004900035001,3,62.71842105,73.59355263,70.82657895,69.73894737,88.89723684,1.139605263,-2.223815789,1.016612481,0.975594929,0.201550388,1.900513368,26.67617689
26004900036006,4,43.17390244,75.38682927,63.0552439,130.1132927,196.9229268,6.46097561,12.54231707,1.052251149,1.068024057,0.040345821,-0.82638106,49.35064935
26004900009001,4,46.75911111,69.78511111,62.09844444,39.02022222,48.04222222,-6.653111111,-8.871111111,0.854332701,0.844129476,0.268096515,0.229742567,90.69264069
26004900109111,0,77.88,86.4,83.58,420,496.5, , , , , ,0.038259743,85.88709677
26004900135003,2,20.03892473,71.17892473,45.41182796,149.8172043,220.6752688,46.95946237,83.44215054,1.452049825,1.608032169, ,-1.728206419,30.22813688
26004900022003,0,82.85285714,85.88035714,84.61535714,15.82142857,19.28892857, , , , ,0.383098592,8.523355728,31.21019108
26004900018001,2,81.40952381,81.77285714,81.5952381,76.73809524,81.09880952,52.43571429,48.73190476,3.139243555,2.503330634,0.33988764,4.48425919,65.61514196
26004900108122,3,50.845,77.07,72.705,222.91,297.19,79.945,102.06,1.559192809,1.523035925,0,3.997213128,64.64699684
26004900019002,6,84.64705882,89.92823529,88.11411765,25.00117647,28.55764706,2.774705882,3.115294118,1.124837899,1.122445205,0.062015504,14.05063566,56.63716814
26004900040002,2,16.67016667,67.70316667,41.99566667,167.7333333,235.7665,104.841,145.7638333,2.666991737,2.643710099,0.089416058,4.701716305,20.53422371
